RSVPID,AlumniID,EventID,RSVPStatus,RSVPDate,GuestCount,SpecialRequirements,CheckInStatus
RSP000001,ALM02910,EVT00031,Tentative,2025-09-30,4,Wheelchair Access,No
RSP000002,ALM00275,EVT00039,Confirmed,2025-08-16,4,,No
RSP000003,ALM01445,EVT00120,Tentative,2025-12-24,3,Vegan,Not Yet
RSP000004,ALM02036,EVT00087,Not Responded,2025-04-14,3,Vegan,Yes
RSP000005,ALM02521,EVT00103,Confirmed,2025-11-30,4,,Yes
RSP000006,ALM01801,EVT00113,Confirmed,2024-10-24,1,,Yes
RSP000007,ALM02177,EVT00039,Tentative,2025-08-16,3,,No
RSP000008,ALM01041,EVT00011,Tentative,2023-11-03,2,Vegan,No
RSP000009,ALM00023,EVT00099,Confirmed,2024-10-18,0,,Yes
RSP000010,ALM01230,EVT00090,Declined,2024-09-21,3,,Yes
RSP000011,ALM00501,EVT00044,Tentative,2025-06-05,3,,Not Yet
RSP000012,ALM02091,EVT00038,Confirmed,2026-03-07,4,Vegan,Yes
RSP000013,ALM00310,EVT00121,Confirmed,2023-11-30,4,,Not Yet
RSP000014,ALM03152,EVT00124,Confirmed,2024-05-06,3,,Yes
RSP000015,ALM00102,EVT00066,Not Responded,2025-08-20,3,,Not Yet
RSP000016,ALM02537,EVT00078,Declined,2024-05-13,4,Wheelchair Access,Not Yet
RSP000017,ALM00543,EVT00149,Not Responded,2025-05-27,4,Gluten-Free,Yes
RSP000018,ALM00205,EVT00130,Not Responded,2024-12-11,4,,Yes
RSP000019,ALM02705,EVT00045,Confirmed,2025-11-16,1,,Yes
RSP000020,ALM03340,EVT00108,Declined,2025-11-15,0,,No
RSP000021,ALM02605,EVT00129,Confirmed,2026-03-18,4,,Yes
RSP000022,ALM01013,EVT00053,Not Responded,2024-04-27,0,,Yes
RSP000023,ALM02853,EVT00064,Declined,2025-06-06,2,,Yes
RSP000024,ALM02423,EVT00064,Confirmed,2025-05-30,4,,Yes
RSP000025,ALM01602,EVT00112,Declined,2025-12-19,1,Gluten-Free,Yes
RSP000026,ALM01497,EVT00107,Confirmed,2024-06-27,0,,Not Yet
RSP000027,ALM02558,EVT00090,Tentative,2024-08-28,3,,Not Yet
RSP000028,ALM00198,EVT00001,Tentative,2024-09-14,2,,Yes
RSP000029,ALM02135,EVT00045,Tentative,2025-11-26,0,,Yes
RSP000030,ALM02655,EVT00070,Tentative,2023-10-13,4,Gluten-Free,Yes
RSP000031,ALM03060,EVT00052,Declined,2026-01-09,2,,Yes
RSP000032,ALM02991,EVT00104,Not Responded,2025-12-05,1,,Not Yet
RSP000033,ALM00519,EVT00056,Declined,2024-10-14,4,,Yes
RSP000034,ALM01158,EVT00077,Tentative,2025-07-28,4,,Yes
RSP000035,ALM01706,EVT00052,Confirmed,2025-11-30,2,,No
RSP000036,ALM03295,EVT00087,Confirmed,2025-03-24,2,,Yes
RSP000037,ALM02014,EVT00095,Confirmed,2025-04-06,2,,No
RSP000038,ALM03114,EVT00079,Tentative,2025-08-23,1,,No
RSP000039,ALM03071,EVT00006,Confirmed,2024-09-07,4,Vegetarian,Yes
RSP000040,ALM00352,EVT00134,Confirmed,2025-11-25,4,,No
RSP000041,ALM02787,EVT00086,Confirmed,2023-12-01,1,,Yes
RSP000042,ALM01787,EVT00102,Not Responded,2025-01-04,3,Wheelchair Access,Yes
RSP000043,ALM02317,EVT00071,Confirmed,2026-03-03,2,,Not Yet
RSP000044,ALM00171,EVT00040,Confirmed,2026-01-09,4,Vegan,Yes
RSP000045,ALM02455,EVT00005,Confirmed,2025-01-01,3,,No
RSP000046,ALM01402,EVT00096,Declined,2024-08-23,1,,Yes
RSP000047,ALM01927,EVT00077,Confirmed,2025-06-28,3,,Yes
RSP000048,ALM00230,EVT00012,Tentative,2025-05-05,4,,Yes
RSP000049,ALM01897,EVT00094,Not Responded,2024-04-09,3,Vegetarian,No
RSP000050,ALM00604,EVT00122,Confirmed,2024-02-21,1,,No
RSP000051,ALM02596,EVT00144,Confirmed,2025-01-25,0,,No
RSP000052,ALM00063,EVT00001,Not Responded,2024-09-06,1,,Not Yet
RSP000053,ALM01393,EVT00128,Tentative,2025-08-08,1,,Yes
RSP000054,ALM01291,EVT00021,Not Responded,2026-01-15,0,,Not Yet
RSP000055,ALM01763,EVT00121,Tentative,2023-12-10,4,Wheelchair Access,Not Yet
RSP000056,ALM01630,EVT00014,Not Responded,2025-04-12,0,,Not Yet
RSP000057,ALM01476,EVT00082,Tentative,2025-08-22,3,Vegetarian,Not Yet
RSP000058,ALM01783,EVT00076,Declined,2025-06-07,4,,Not Yet
RSP000059,ALM00488,EVT00111,Confirmed,2024-02-07,1,,Yes
RSP000060,ALM02826,EVT00022,Confirmed,2025-12-12,2,Wheelchair Access,Not Yet
RSP000061,ALM00049,EVT00029,Confirmed,2024-06-07,2,,No
RSP000062,ALM03220,EVT00085,Not Responded,2025-06-24,3,,Yes
RSP000063,ALM00629,EVT00067,Not Responded,2023-12-16,3,,Yes
RSP000064,ALM00866,EVT00097,Not Responded,2024-07-21,2,,Yes
RSP000065,ALM03049,EVT00069,Confirmed,2024-02-25,3,Gluten-Free,Yes
RSP000066,ALM03265,EVT00127,Not Responded,2024-10-23,1,,Yes
RSP000067,ALM01100,EVT00117,Confirmed,2024-11-09,0,,Yes
RSP000068,ALM02193,EVT00043,Declined,2026-04-09,4,Vegan,No
RSP000069,ALM00330,EVT00069,Not Responded,2024-02-16,3,,Yes
RSP000070,ALM00415,EVT00042,Confirmed,2026-01-03,3,Wheelchair Access,Yes
RSP000071,ALM02885,EVT00011,Confirmed,2023-09-07,2,,Yes
RSP000072,ALM00745,EVT00139,Not Responded,2025-03-23,2,,Yes
RSP000073,ALM01131,EVT00014,Declined,2025-05-13,4,,No
RSP000074,ALM01073,EVT00102,Not Responded,2024-11-14,3,,Not Yet
RSP000075,ALM03015,EVT00041,Not Responded,2023-10-13,1,Wheelchair Access,Yes
