EngagementID,AlumniID,EventsAttended,DonationCount,TotalAmountDonated,MentorshipsActive,VolunteerHours,ProfileCompleteness,EmailEngagementRate,LastActivityDate,EngagementScore,EngagementTier,AssignedTo,LastReviewDate
ENG000001,ALM00001,0,0,0,0,0,53,0.033,2025-08-21,2,Low,Staff_15,2025-09-20
ENG000002,ALM00002,2,0,0,0,0,89,0.975,2025-05-16,4,Low,Staff_05,2025-10-13
ENG000003,ALM00003,2,1,223,0,0,88,0.58,2025-10-07,4,Low,Staff_15,2025-08-26
ENG000004,ALM00004,1,0,0,1,84,32,0.064,2025-09-24,2,Low,Staff_09,2025-10-02
ENG000005,ALM00005,3,0,0,0,0,38,0.197,2025-07-25,2,Low,Staff_17,2025-09-08
ENG000006,ALM00006,1,2,60000,1,44,37,0.987,2025-07-24,6,Low,Staff_18,2025-08-22
ENG000007,ALM00007,1,0,0,1,65,35,0.996,2025-09-10,2,Low,Staff_01,2025-11-01
ENG000008,ALM00008,2,1,50000,0,0,63,0.694,2025-07-12,7,Low,Staff_12,2025-09-27
ENG000009,ALM00009,1,0,0,0,0,82,0.391,2025-06-07,3,Low,Staff_10,2025-08-15
ENG000010,ALM00010,2,1,10000,0,0,37,0.652,2025-05-27,6,Low,Staff_02,2025-10-11
ENG000011,ALM00011,0,0,0,1,22,34,0.242,2025-06-18,2,Low,Staff_06,2025-08-28
ENG000012,ALM00012,1,0,0,0,0,77,0.979,2025-06-23,3,Low,Staff_16,2025-08-13
ENG000013,ALM00013,4,0,0,0,0,64,0.733,2025-08-12,4,Low,Staff_10,2025-10-11
ENG000014,ALM00014,1,0,0,0,0,56,0.594,2025-05-30,2,Low,Staff_09,2025-09-18
ENG000015,ALM00015,1,0,0,0,0,81,0.714,2025-06-18,3,Low,Staff_11,2025-08-30
ENG000016,ALM00016,4,1,151,0,0,42,0.773,2025-06-03,3,Low,Staff_07,2025-09-24
ENG000017,ALM00017,3,0,0,1,51,35,0.385,2025-10-01,3,Low,Staff_17,2025-08-18
ENG000018,ALM00018,1,1,257,0,0,30,0.408,2025-07-22,1,Low,Staff_05,2025-09-13
ENG000019,ALM00019,3,1,361,0,0,38,0.083,2025-08-24,2,Low,Staff_20,2025-10-10
ENG000020,ALM00020,3,0,0,0,0,61,0.133,2025-10-15,3,Low,Staff_10,2025-10-05
ENG000021,ALM00021,1,0,0,0,0,85,0.372,2025-07-03,3,Low,Staff_13,2025-10-16
ENG000022,ALM00022,1,0,0,0,0,30,0.87,2025-05-31,1,Low,Staff_12,2025-08-13
ENG000023,ALM00023,6,0,0,0,0,97,0.761,2025-06-30,6,Low,Staff_02,2025-08-22
ENG000024,ALM00024,4,0,0,0,0,40,0.971,2025-05-16,3,Low,Staff_07,2025-09-28
ENG000025,ALM00025,4,1,50000,0,0,32,0.742,2025-10-27,7,Low,Staff_03,2025-10-06
ENG000026,ALM00026,3,1,145,0,0,100,0.705,2025-10-26,5,Low,Staff_10,2025-08-09
ENG000027,ALM00027,2,0,0,0,0,79,0.52,2025-05-13,4,Low,Staff_14,2025-08-21
ENG000028,ALM00028,3,1,446,1,57,89,0.543,2025-05-14,5,Low,Staff_07,2025-09-18
ENG000029,ALM00029,3,3,20275,0,0,48,0.179,2025-10-31,6,Low,Staff_14,2025-09-22
ENG000030,ALM00030,1,0,0,0,0,65,0.242,2025-09-01,2,Low,Staff_08,2025-09-09
ENG000031,ALM00031,4,0,0,0,0,95,0.715,2025-07-24,5,Low,Staff_12,2025-09-27
ENG000032,ALM00032,2,0,0,0,0,37,0.537,2025-07-05,2,Low,Staff_07,2025-10-16
ENG000033,ALM00033,0,0,0,0,0,51,0.933,2025-05-29,2,Low,Staff_08,2025-09-15
ENG000034,ALM00034,3,0,0,1,1,93,0.136,2025-06-22,5,Low,Staff_08,2025-08-24
ENG000035,ALM00035,2,1,234,0,0,73,0.574,2025-08-14,3,Low,Staff_11,2025-09-28
ENG000036,ALM00036,1,0,0,0,0,75,0.688,2025-10-18,3,Low,Staff_05,2025-08-28
ENG000037,ALM00037,0,1,394,0,0,96,0.091,2025-09-20,3,Low,Staff_02,2025-08-23
ENG000038,ALM00038,2,0,0,1,41,61,0.969,2025-05-27,4,Low,Staff_03,2025-10-28
ENG000039,ALM00039,3,0,0,0,0,38,0.695,2025-08-13,2,Low,Staff_17,2025-08-22
ENG000040,ALM00040,1,0,0,0,0,42,0.3,2025-07-06,1,Low,Staff_09,2025-09-02
ENG000041,ALM00041,1,0,0,0,0,95,0.159,2025-09-28,3,Low,Staff_10,2025-10-10
ENG000042,ALM00042,1,0,0,0,0,78,0.169,2025-05-23,3,Low,Staff_09,2025-10-30
ENG000043,ALM00043,1,1,25000,0,0,82,0.795,2025-05-10,7,Low,Staff_07,2025-08-20
ENG000044,ALM00044,3,0,0,0,0,76,0.042,2025-05-26,4,Low,Staff_12,2025-08-08
ENG000045,ALM00045,2,0,0,0,0,87,0.893,2025-09-30,4,Low,Staff_13,2025-08-22
ENG000046,ALM00046,5,1,100000,0,0,30,0.275,2025-06-16,7,Low,Staff_16,2025-08-12
ENG000047,ALM00047,6,0,0,0,0,93,0.462,2025-06-22,6,Low,Staff_03,2025-09-15
ENG000048,ALM00048,3,0,0,2,53,86,0.576,2025-08-11,6,Low,Staff_09,2025-08-05
ENG000049,ALM00049,1,3,1201,0,0,77,0.42,2025-09-11,4,Low,Staff_20,2025-09-30
ENG000050,ALM00050,2,1,459,0,0,63,0.25,2025-09-07,3,Low,Staff_09,2025-09-20
ENG000051,ALM00051,0,1,100000,0,0,98,0.408,2025-08-03,7,Low,Staff_05,2025-09-09
ENG000052,ALM00052,2,0,0,0,0,53,0.521,2025-08-14,3,Low,Staff_09,2025-08-22
ENG000053,ALM00053,2,0,0,0,0,96,0.056,2025-09-12,4,Low,Staff_02,2025-10-18
ENG000054,ALM00054,1,1,196,1,94,37,0.376,2025-10-10,2,Low,Staff_09,2025-08-12
