DonationID,AlumniID,DonationAmount,DonationType,DonationMethod,DonationDate,Purpose,IsAnonymous,TaxDeductible,RecurringFrequency,Status
DON000001,ALM01995,157,In-Kind,Credit Card,2025-03-10,Infrastructure,False,True,Monthly,Completed
DON000002,ALM00461,387,One-Time Gift,Check,2025-02-10,Endowment,False,True,,Completed
DON000003,ALM00071,405,One-Time Gift,Bank Transfer,2024-09-12,Research,False,True,,Completed
DON000004,ALM00789,190,In-Kind,Stock,2024-02-25,Infrastructure,False,True,,Completed
DON000005,ALM02982,485,Pledge,Stock,2023-12-31,Scholarship,True,True,,Completed
DON000006,ALM01837,499,In-Kind,Stock,2024-11-03,Infrastructure,False,True,Quarterly,Completed
DON000007,ALM02170,25000,Recurring Monthly,Credit Card,2024-04-04,Scholarship,False,True,,Completed
DON000008,ALM02486,489,Major Gift,Bank Transfer,2025-07-28,Infrastructure,False,True,,Completed
DON000009,ALM01012,129,Recurring Monthly,Wire Transfer,2025-10-20,General Fund,False,True,,Completed
DON000010,ALM01387,303,In-Kind,Bank Transfer,2024-12-11,General Fund,False,False,,Completed
DON000011,ALM01866,118,Recurring Monthly,Check,2024-10-06,Scholarship,False,True,,Completed
DON000012,ALM02652,485,In-Kind,Wire Transfer,2024-06-28,Infrastructure,False,True,,Completed
DON000013,ALM01547,329,Pledge,Wire Transfer,2025-06-15,Endowment,False,True,,Completed
DON000014,ALM02578,250000,Recurring Monthly,Wire Transfer,2024-10-13,Infrastructure,False,True,,Pending
DON000015,ALM01679,297,Major Gift,Check,2024-07-20,General Fund,False,True,,Completed
DON000016,ALM01129,250000,Pledge,Credit Card,2025-04-20,Infrastructure,False,True,,Completed
DON000017,ALM00659,250000,Pledge,Wire Transfer,2025-05-17,Infrastructure,False,True,,Completed
DON000018,ALM03243,82,Pledge,Stock,2025-01-23,Endowment,False,True,Monthly,Completed
DON000019,ALM00059,50000,Recurring Monthly,Stock,2025-03-24,Infrastructure,False,True,,Completed
DON000020,ALM03245,399,Major Gift,Wire Transfer,2025-03-06,Research,True,True,,Completed
DON000021,ALM00794,423,Recurring Monthly,Credit Card,2025-06-11,Endowment,False,True,,Completed
DON000022,ALM01546,278,In-Kind,Wire Transfer,2024-02-19,General Fund,False,True,,Completed
DON000023,ALM00206,52,Recurring Monthly,Check,2024-08-18,Scholarship,False,True,,Completed
DON000024,ALM03048,348,Pledge,Wire Transfer,2023-11-11,Endowment,True,True,,Completed
DON000025,ALM02335,283,Pledge,Check,2023-12-21,General Fund,False,True,Quarterly,Completed
DON000026,ALM02300,100000,Recurring Monthly,Credit Card,2024-03-22,Scholarship,False,True,,Completed
DON000027,ALM02810,50000,In-Kind,Credit Card,2025-09-14,General Fund,False,True,,Completed
DON000028,ALM01139,456,Major Gift,Bank Transfer,2023-12-07,Infrastructure,False,True,,Completed
DON000029,ALM02227,10000,Recurring Monthly,Credit Card,2025-06-21,Scholarship,False,True,,Completed
DON000030,ALM01986,90,In-Kind,Stock,2025-06-23,Endowment,False,True,,Completed
DON000031,ALM03093,305,Recurring Monthly,Wire Transfer,2025-08-19,Endowment,False,True,,Completed
DON000032,ALM00116,74,One-Time Gift,Check,2024-07-30,Research,False,True,Quarterly,Pending
DON000033,ALM00532,50000,Pledge,Credit Card,2025-10-14,Scholarship,False,True,Quarterly,Completed
DON000034,ALM02916,250000,Major Gift,Stock,2024-04-10,General Fund,False,True,,Declined
DON000035,ALM01183,25000,Recurring Monthly,Credit Card,2024-12-08,Endowment,False,True,Monthly,Completed
DON000036,ALM02501,492,Major Gift,Check,2025-03-18,Research,False,False,Annual,Completed
DON000037,ALM02879,100000,Pledge,Stock,2024-01-20,General Fund,False,True,,Completed
DON000038,ALM00842,307,Major Gift,Credit Card,2025-10-06,Research,False,True,,Completed
DON000039,ALM02010,366,Recurring Monthly,Bank Transfer,2024-03-19,Endowment,False,True,Quarterly,Completed
DON000040,ALM02290,327,One-Time Gift,Check,2024-08-05,General Fund,False,True,,Completed
DON000041,ALM00652,290,Major Gift,Check,2024-03-07,Scholarship,False,True,,Completed
DON000042,ALM02789,192,In-Kind,Credit Card,2025-05-09,Endowment,False,True,,Completed
DON000043,ALM02283,182,Recurring Monthly,Check,2024-06-12,Infrastructure,False,True,,Completed
DON000044,ALM00308,50000,Recurring Monthly,Bank Transfer,2024-01-07,Scholarship,False,True,,Completed
DON000045,ALM02673,25000,One-Time Gift,Stock,2025-01-24,Research,False,True,,Completed
DON000046,ALM03056,109,Major Gift,Stock,2024-10-26,Scholarship,False,True,,Completed
DON000047,ALM03202,25000,In-Kind,Credit Card,2024-08-26,Infrastructure,False,True,,Completed
DON000048,ALM01038,250000,One-Time Gift,Stock,2024-03-27,Endowment,True,True,,Completed
DON000049,ALM02683,25000,One-Time Gift,Wire Transfer,2024-08-30,Infrastructure,False,True,,Declined
DON000050,ALM00217,51,In-Kind,Credit Card,2025-10-03,Infrastructure,False,True,,Completed
DON000051,ALM00962,358,Pledge,Credit Card,2024-06-08,General Fund,False,True,,Completed
DON000052,ALM01758,406,Major Gift,Credit Card,2024-07-04,General Fund,False,True,,Declined
DON000053,ALM01232,389,Recurring Monthly,Wire Transfer,2024-12-10,General Fund,False,True,Monthly,Completed
DON000054,ALM00567,250000,In-Kind,Bank Transfer,2024-12-14,General Fund,False,True,,Completed
DON000055,ALM02363,242,Pledge,Credit Card,2024-03-26,Scholarship,False,True,,Completed
DON000056,ALM00411,250000,One-Time Gift,Bank Transfer,2025-06-25,Endowment,False,True,,Completed
DON000057,ALM02224,106,Recurring Monthly,Credit Card,2024-09-15,General Fund,False,True,,Declined
DON000058,ALM02998,192,Pledge,Wire Transfer,2024-04-03,Endowment,False,True,,Completed
DON000059,ALM02622,250000,Major Gift,Wire Transfer,2025-05-08,Infrastructure,False,True,,Declined
DON000060,ALM02610,200,Recurring Monthly,Check,2024-05-17,Research,False,False,,Pending
DON000061,ALM00941,174,Major Gift,Check,2025-10-20,General Fund,False,True,,Pending
DON000062,ALM00257,453,Major Gift,Check,2024-04-12,Research,False,True,,Completed
DON000063,ALM01373,258,Major Gift,Credit Card,2024-04-28,Endowment,False,True,,Completed
DON000064,ALM01065,85,Major Gift,Stock,2025-04-20,Endowment,False,True,,Completed
DON000065,ALM01941,100000,One-Time Gift,Bank Transfer,2024-02-27,General Fund,False,True,,Completed
DON000066,ALM01250,255,One-Time Gift,Bank Transfer,2024-02-26,General Fund,False,True,,Completed
DON000067,ALM01009,117,In-Kind,Bank Transfer,2024-02-29,Endowment,False,True,,Completed
DON000068,ALM00613,25000,One-Time Gift,Wire Transfer,2024-06-04,Infrastructure,False,False,,Completed
DON000069,ALM02477,10000,One-Time Gift,Wire Transfer,2025-05-29,Research,False,True,,Completed
DON000070,ALM02281,100000,Pledge,Stock,2024-06-16,Endowment,False,True,Monthly,Completed
DON000071,ALM02661,264,One-Time Gift,Stock,2024-01-16,Scholarship,False,True,,Declined
DON000072,ALM01147,179,Major Gift,Stock,2025-02-12,Endowment,False,False,,Completed
DON000073,ALM02140,493,Major Gift,Bank Transfer,2025-10-17,Endowment,False,True,,Completed
DON000074,ALM02225,168,Major Gift,Stock,2024-01-05,Scholarship,False,True,,Completed
DON000075,ALM00129,67,One-Time Gift,Wire Transfer,2024-01-17,Endowment,True,True,,Completed
DON000076,ALM01878,116,Recurring Monthly,Stock,2023-11-21,Research,False,True,,Completed
DON000077,ALM01979,203,Pledge,Stock,2025-03-12,Endowment,False,True,Quarterly,Completed
DON000078,ALM01655,77,In-Kind,Check,2024-01-08,Infrastructure,False,True,,Completed
DON000079,ALM00029,275,In-Kind,Check,2024-01-27,Endowment,False,True,,Completed
DON000080,ALM00100,25000,In-Kind,Wire Transfer,2024-09-14,Scholarship,False,True,Monthly,Completed
DON000081,ALM01998,100000,In-Kind,Bank Transfer,2025-05-25,Scholarship,True,True,,Completed
DON000082,ALM02095,261,Pledge,Credit Card,2024-06-03,Research,True,True,Quarterly,Completed
DON000083,ALM02862,132,One-Time Gift,Check,2025-08-28,Infrastructure,False,True,Monthly,Completed
DON000084,ALM02578,283,Major Gift,Credit Card,2024-11-04,Infrastructure,False,True,Monthly,Completed
DON000085,ALM03425,50000,In-Kind,Check,2024-09-07,General Fund,False,True,,Completed
DON000086,ALM01419,491,Recurring Monthly,Stock,2025-04-05,Infrastructure,False,True,,Completed
DON000087,ALM00747,462,Recurring Monthly,Credit Card,2025-10-29,Scholarship,True,True,,Completed
DON000088,ALM00769,370,Recurring Monthly,Check,2025-04-05,Endowment,False,True,,Completed
DON000089,ALM02248,328,One-Time Gift,Stock,2024-04-22,Endowment,True,False,Quarterly,Pending
DON000090,ALM00709,301,Major Gift,Check,2023-12-21,Scholarship,False,True,,Completed
DON000091,ALM03387,145,Recurring Monthly,Bank Transfer,2024-05-04,Research,True,True,,Completed
DON000092,ALM01971,299,In-Kind,Wire Transfer,2024-04-15,Research,False,True,,Pending
DON000093,ALM03245,458,Pledge,Wire Transfer,2025-07-27,Scholarship,False,True,,Completed
DON000094,ALM00665,252,Major Gift,Credit Card,2024-11-16,General Fund,False,True,,Completed
DON000095,ALM00659,213,Recurring Monthly,Stock,2023-12-22,Infrastructure,False,True,Monthly,Completed
DON000096,ALM01173,202,Major Gift,Stock,2024-01-25,Infrastructure,False,True,,Declined
DON000097,ALM01551,491,Recurring Monthly,Credit Card,2024-12-01,General Fund,False,True,Annual,Completed
DON000098,ALM00149,312,Recurring Monthly,Credit Card,2024-02-23,Endowment,False,True,,Completed
DON000099,ALM03211,168,One-Time Gift,Check,2024-01-14,General Fund,False,True,Annual,Completed
DON000100,ALM01027,216,In-Kind,Stock,2025-01-02,Scholarship,False,True,,Completed
DON000101,ALM00366,50000,Recurring Monthly,Check,2025-06-02,Infrastructure,False,False,,Completed
DON000102,ALM02501,64,In-Kind,Wire Transfer,2024-11-19,Infrastructure,False,False,,Completed
DON000103,ALM01263,487,Major Gift,Stock,2024-10-12,General Fund,True,True,,Completed
DON000104,ALM02523,317,One-Time Gift,Credit Card,2025-10-22,Endowment,False,True,,Completed
DON000105,ALM01865,121,Recurring Monthly,Wire Transfer,2024-08-04,Scholarship,True,True,,Completed
DON000106,ALM01375,137,Major Gift,Bank Transfer,2025-01-14,Infrastructure,True,True,Monthly,Completed
DON000107,ALM02688,250000,Pledge,Check,2024-06-02,General Fund,False,True,Monthly,Completed
DON000108,ALM01518,100000,Pledge,Wire Transfer,2024-08-03,Infrastructure,False,True,,Completed
DON000109,ALM00267,71,Pledge,Wire Transfer,2024-03-04,Research,False,True,,Completed
DON000110,ALM01229,50000,Recurring Monthly,Wire Transfer,2025-05-08,Infrastructure,True,True,Monthly,Completed
DON000111,ALM02677,250000,Recurring Monthly,Wire Transfer,2023-11-18,Research,False,True,,Completed
DON000112,ALM01825,351,In-Kind,Wire Transfer,2024-06-24,Endowment,False,True,Quarterly,Completed
DON000113,ALM03078,250000,Pledge,Bank Transfer,2024-10-20,Infrastructure,False,True,Quarterly,Completed
DON000114,ALM00171,208,Pledge,Credit Card,2025-01-02,General Fund,False,True,,Completed
DON000115,ALM03453,306,Major Gift,Wire Transfer,2025-03-30,General Fund,False,True,,Completed
DON000116,ALM01802,250000,Major Gift,Bank Transfer,2025-01-14,Infrastructure,False,True,,Completed
DON000117,ALM02358,100000,Major Gift,Credit Card,2025-07-18,Scholarship,False,False,,Completed
DON000118,ALM01167,50000,One-Time Gift,Wire Transfer,2024-02-09,General Fund,False,True,Annual,Completed
DON000119,ALM00728,174,In-Kind,Wire Transfer,2024-02-17,General Fund,True,False,,Completed
DON000120,ALM02081,162,Recurring Monthly,Wire Transfer,2025-02-08,General Fund,True,True,Monthly,Completed
DON000121,ALM01469,25000,Pledge,Stock,2024-02-24,Infrastructure,False,True,Monthly,Completed
DON000122,ALM02053,250000,Recurring Monthly,Bank Transfer,2025-08-01,Scholarship,False,True,,Completed
DON000123,ALM01375,285,Pledge,Wire Transfer,2025-09-14,Endowment,False,True,,Completed
DON000124,ALM02946,425,One-Time Gift,Wire Transfer,2024-03-27,Research,False,True,,Completed
DON000125,ALM02160,25000,Major Gift,Bank Transfer,2025-09-09,Research,False,True,,Completed
DON000126,ALM02945,131,Recurring Monthly,Bank Transfer,2024-12-24,Scholarship,False,True,,Completed
DON000127,ALM03256,25000,Major Gift,Stock,2024-04-18,Endowment,False,True,Monthly,Completed
DON000128,ALM02136,100000,Major Gift,Stock,2025-05-19,Infrastructure,False,True,Monthly,Completed
DON000129,ALM02540,200,Major Gift,Bank Transfer,2024-06-10,Scholarship,False,True,Monthly,Completed
DON000130,ALM01439,276,In-Kind,Bank Transfer,2025-10-29,Infrastructure,False,True,,Completed
DON000131,ALM02971,100000,One-Time Gift,Credit Card,2025-07-09,Infrastructure,False,True,,Pending
DON000132,ALM02838,119,Pledge,Wire Transfer,2023-12-11,Scholarship,False,True,,Completed
DON000133,ALM02129,327,Major Gift,Bank Transfer,2024-05-07,Research,False,True,Annual,Completed
DON000134,ALM01514,50000,Recurring Monthly,Stock,2025-11-01,Endowment,False,True,,Completed
DON000135,ALM01331,123,In-Kind,Check,2025-02-05,General Fund,False,True,,Completed
DON000136,ALM01612,428,One-Time Gift,Credit Card,2025-04-03,Scholarship,False,True,Annual,Completed
DON000137,ALM01517,64,Pledge,Wire Transfer,2025-02-28,Research,False,True,Quarterly,Completed
DON000138,ALM01007,25000,In-Kind,Bank Transfer,2025-02-15,General Fund,False,True,Monthly,Completed
DON000139,ALM00608,297,Major Gift,Credit Card,2025-01-13,Endowment,False,True,,Completed
DON000140,ALM01806,165,Major Gift,Credit Card,2025-05-04,Endowment,True,True,,Completed
DON000141,ALM00213,100000,In-Kind,Check,2023-11-09,Infrastructure,False,True,,Completed
DON000142,ALM00444,10000,Recurring Monthly,Credit Card,2023-11-14,Endowment,False,True,,Completed
DON000143,ALM01569,390,In-Kind,Bank Transfer,2024-05-23,Infrastructure,False,True,,Completed
DON000144,ALM03403,471,Pledge,Stock,2025-10-31,Endowment,False,True,,Completed
DON000145,ALM00788,376,One-Time Gift,Credit Card,2024-08-03,Infrastructure,False,True,,Completed
DON000146,ALM02618,466,In-Kind,Check,2024-01-13,Infrastructure,False,True,,Completed
DON000147,ALM01188,50000,One-Time Gift,Credit Card,2024-06-19,Research,False,True,,Completed
DON000148,ALM02781,225,In-Kind,Check,2024-02-23,General Fund,False,True,,Completed
DON000149,ALM01794,25000,In-Kind,Bank Transfer,2024-06-19,Research,False,True,,Completed
DON000150,ALM02840,382,Recurring Monthly,Wire Transfer,2025-06-30,Scholarship,False,True,,Completed
DON000151,ALM01138,461,Recurring Monthly,Stock,2024-09-09,Endowment,False,False,,Completed
DON000152,ALM00712,100000,Recurring Monthly,Credit Card,2024-08-31,Scholarship,False,True,Quarterly,Completed
DON000153,ALM03206,415,Major Gift,Check,2025-07-23,Infrastructure,False,True,,Completed
DON000154,ALM02776,10000,In-Kind,Wire Transfer,2025-02-14,General Fund,False,True,Annual,Completed
DON000155,ALM01044,159,Major Gift,Stock,2024-01-16,General Fund,False,True,,Completed
DON000156,ALM02351,232,In-Kind,Check,2024-02-25,Infrastructure,False,True,,Completed
DON000157,ALM03241,100000,One-Time Gift,Check,2025-06-26,Research,False,True,,Completed
DON000158,ALM03430,114,Pledge,Stock,2025-09-06,Endowment,False,True,,Completed
DON000159,ALM01903,25000,Recurring Monthly,Check,2025-07-08,General Fund,False,True,,Completed
DON000160,ALM02048,25000,Recurring Monthly,Bank Transfer,2025-03-05,Infrastructure,False,True,,Completed
DON000161,ALM02168,226,Major Gift,Check,2025-01-24,Endowment,False,True,,Completed
DON000162,ALM02661,100000,Pledge,Bank Transfer,2024-08-21,Research,False,True,,Completed
DON000163,ALM02415,10000,In-Kind,Wire Transfer,2023-11-22,Research,False,True,,Completed
DON000164,ALM03009,133,Major Gift,Check,2024-06-08,Endowment,False,True,,Completed
DON000165,ALM01469,10000,Major Gift,Bank Transfer,2025-09-08,Scholarship,False,True,,Completed
DON000166,ALM01715,25000,One-Time Gift,Wire Transfer,2024-10-27,Infrastructure,False,False,,Completed
DON000167,ALM01340,222,In-Kind,Credit Card,2023-11-20,Infrastructure,False,True,,Completed
DON000168,ALM03123,260,Pledge,Credit Card,2024-09-14,General Fund,False,True,,Completed
DON000169,ALM01219,421,One-Time Gift,Check,2025-06-22,General Fund,False,True,Monthly,Completed
DON000170,ALM01646,25000,Pledge,Credit Card,2024-03-20,General Fund,False,True,,Completed
DON000171,ALM01323,100000,Recurring Monthly,Stock,2024-02-26,Infrastructure,False,True,,Completed
DON000172,ALM03156,100000,Major Gift,Check,2024-01-15,Scholarship,False,True,,Completed
DON000173,ALM01711,200,One-Time Gift,Credit Card,2024-01-26,General Fund,False,True,,Completed
DON000174,ALM01114,262,Recurring Monthly,Wire Transfer,2025-06-29,Research,False,True,Quarterly,Completed
DON000175,ALM01693,335,One-Time Gift,Bank Transfer,2024-03-03,Scholarship,False,True,,Completed
DON000176,ALM00829,85,One-Time Gift,Wire Transfer,2024-05-16,Infrastructure,False,True,Quarterly,Completed
DON000177,ALM00834,348,Major Gift,Wire Transfer,2024-10-27,Research,False,True,Monthly,Completed
DON000178,ALM01811,451,Pledge,Bank Transfer,2025-07-12,Research,False,True,Annual,Completed
DON000179,ALM02237,100000,Recurring Monthly,Credit Card,2024-04-05,Scholarship,False,True,,Completed
DON000180,ALM01101,100000,Major Gift,Check,2024-06-17,Research,False,True,Monthly,Completed
DON000181,ALM02141,250,One-Time Gift,Credit Card,2025-10-16,Endowment,False,True,,Completed
DON000182,ALM01963,50000,In-Kind,Credit Card,2024-01-04,Research,False,True,,Completed
DON000183,ALM03011,55,One-Time Gift,Credit Card,2023-11-04,Infrastructure,False,True,,Completed
DON000184,ALM03163,192,Pledge,Credit Card,2023-12-01,Scholarship,False,True,,Completed
DON000185,ALM01836,185,One-Time Gift,Stock,2024-03-23,Endowment,False,True,Monthly,Pending
DON000186,ALM01422,100000,Recurring Monthly,Credit Card,2025-07-25,Research,False,True,Monthly,Completed
DON000187,ALM00844,166,Pledge,Stock,2023-12-28,Endowment,False,True,,Completed
DON000188,ALM00847,414,In-Kind,Check,2024-12-24,General Fund,False,True,,Completed
DON000189,ALM00473,484,One-Time Gift,Check,2024-02-04,Research,True,True,,Completed
DON000190,ALM00784,403,Pledge,Check,2024-03-12,General Fund,False,True,,Completed
